FINLWT21,FINCBTAX,BLS_URBN,POPSIZE,EDUC_REF,EDUCA2,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,HISP_REF,HISP2,FAM_TYPE,MARITAL1,REGION,SMSASTAT,HIGH_EDU,EHOUSNGC,TOTEXPCQ,FOODCQ,TRANSCQ,HEALTHCQ,ENTERTCQ,EDUCACQ,TOBACCCQ,STUDFINX,IRAX,CUTENURE,FAM_SIZE,VEHQ,ROOMSQ,INC_HRS1,INC_HRS2,EARNCOMP,NO_EARNR,OCCUCOD1,OCCUCOD2,STATE,DIVISION,TOTXEST,CREDFINX,CREDITB,CREDITX,BUILDING,ST_HOUS,INT_PHON,INT_HOME
23102.2,47000,1,3,13,NA,26,.,2,NA,1,NA,2,NA,9,5,2,1,13,0,0,0,0,0,0,0,0,.,.,4,2,3,2,40,.,4,2,10,NA,20,4,4164,0,NA,430,08,2,NA,NA
21651.062,155000,1,1,15,15,38,38,2,1,4,4,2,2,1,1,2,1,15,0,0,0,0,0,0,0,0,.,.,1,2,2,5,40,40,2,2,03,03,17,3,25429,.,NA,.,01,2,NA,NA
22439.69,20218,1,5,12,NA,87,.,1,NA,1,NA,2,NA,8,2,NA,2,12,0,0,0,0,0,0,0,0,.,0,2,1,1,6,.,.,8,0,NA,NA,NA,NA,0,.,NA,.,01,2,NA,NA
26083.117,30000,1,2,12,NA,19,.,1,NA,2,NA,1,NA,8,5,2,1,12,0,0,0,0,0,0,0,0,.,0,4,1,1,4,60,.,1,1,01,NA,26,3,3494,0,NA,600,08,2,NA,NA
26259.48,48000,1,2,12,NA,21,.,2,NA,1,NA,2,NA,9,5,1,1,13,0,0,0,0,0,0,0,0,.,0,4,2,2,5,35,.,4,2,09,NA,09,1,3184,.,NA,.,08,2,NA,NA
28205.54,22880,1,2,12,11,43,42,1,2,2,2,2,2,3,1,1,1,12,0,0,0,0,0,0,0,0,.,.,4,3,1,7,37,40,2,2,11,07,36,2,7202,.,NA,.,01,2,NA,NA
27773.247,0,1,1,15,16,51,48,1,2,2,2,2,2,1,1,3,1,16,0,0,0,0,0,0,0,0,.,.,1,2,2,12,40,52,2,2,02,03,13,5,177855,.,NA,.,01,2,NA,NA
23227.448,90000,1,4,15,NA,62,.,2,NA,1,NA,2,NA,8,5,4,1,15,0,0,0,0,0,0,0,0,.,35000,2,1,1,4,36,.,1,1,02,NA,06,9,18885,0,NA,375,01,2,NA,NA
23328.914,0,1,1,16,16,58,50,1,2,1,1,2,2,4,1,4,1,16,0,0,0,0,0,0,0,0,.,.,1,3,0,8,70,40,3,3,03,03,06,9,37057,.,NA,.,01,2,NA,NA
21534.16,2924,1,2,16,16,80,72,1,2,1,1,2,2,1,1,3,1,16,0,0,0,0,0,0,0,0,.,.,1,2,2,7,.,.,8,0,NA,NA,40,7,-120,.,NA,.,01,2,NA,NA
22512.919,29194,1,2,12,NA,69,.,2,NA,1,NA,2,NA,8,2,4,1,12,0,0,0,0,0,0,0,0,.,100000,1,1,1,5,.,.,8,0,NA,NA,41,9,0,.,NA,.,02,2,NA,NA
18918.398,45605,1,2,14,NA,45,.,1,NA,1,NA,2,NA,8,3,4,1,14,0,0,0,0,0,0,0,0,.,280000,1,1,2,5,50,.,1,1,03,NA,41,9,4649,.,NA,.,01,2,NA,NA
31953.552,2924,1,3,14,NA,72,.,1,NA,1,NA,2,NA,9,3,3,1,14,0,0,0,0,0,0,0,0,.,.,2,2,2,3,.,.,8,0,NA,NA,12,5,0,.,NA,.,01,2,NA,NA
21109.279,1462,1,1,12,NA,80,.,2,NA,1,NA,2,NA,8,2,3,1,12,0,0,0,0,0,0,0,0,.,.,2,1,1,6,.,.,8,0,NA,NA,48,7,0,.,NA,.,09,2,NA,NA
13820.14,45100,1,2,15,NA,26,.,1,NA,1,NA,2,NA,8,5,2,1,15,0,0,0,0,0,0,0,0,.,0,4,1,1,5,40,.,1,1,07,NA,29,4,6459,.,NA,.,08,2,NA,NA
2295.857,5958,1,4,15,NA,77,.,1,NA,1,NA,2,NA,8,2,4,1,15,0,0,0,0,0,0,0,0,.,550000,2,1,1,6,.,.,8,0,NA,NA,02,9,0,.,NA,.,01,2,NA,NA
23668.623,60012,1,2,15,NA,49,.,2,NA,1,NA,1,NA,8,3,3,1,15,0,0,0,0,0,0,0,0,.,20000,1,1,1,7,50,.,1,1,06,NA,37,5,9296,.,NA,.,01,2,NA,NA
